sale_date_previous,sale_date_projected,sale_time,file_number,property_address,place_of_sale,loan_date,trustor,county,original_loan_amount,file_status,opening_bid_amount,max_bid_amount,sale_notation
,10/31/2025,10:30 AM,122017-CA,"4463 N Meridian Ave, Fresno CA, 93726","AT THE BACKSIDE OF THE COUNTY COURTHOUSE BUILDING AT 1100 VAN NESS, FRESNO, CA 93724",,,,,,,,From 08/29/2025 to 10/31/2025
,10/31/2025,09:00 AM,132801-CA,"3842 Boren St, San Diego CA, 92115","ENTRANCE OF THE EAST COUNTY REGIONAL CENTER, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,From 09/19/2025 to 10/31/2025
,10/31/2025,09:00 AM,133347-CA,"2168 Paseo Levanten, Chula Vista CA, 91913","ENTRANCE OF THE EAST COUNTY REGIONAL CENTER, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,From 09/19/2025 to 10/31/2025
,10/30/2025,09:00 AM,128707-CA,"11577 Newcastle Avenue, Granada Hills CA, 91344","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 08/21/2025 to 10/30/2025
,10/30/2025,09:00 AM,129191-CA,"9354 Crenshaw Boulevard, Inglewood CA, 90305","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/18/2025 to 10/30/2025
,10/30/2025,09:00 AM,130302-CA,"6711 Densmore Ave, Van Nuys CA, 91406","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/18/2025 to 10/30/2025
,10/30/2025,09:00 AM,129135-CA,"43964 Fallon Dr, Lancaster CA, 93535","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/18/2025 to 10/30/2025
,10/30/2025,01:30 PM,134327-CA,"8737 El Toreador Way, Elk Grove CA, 95624","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,From 08/28/2025 to 10/30/2025
,10/30/2025,09:00 AM,133966-CA,"7002 Valentine Dr, Huntington Beach CA, 92647","ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866",,,,,,,,From 09/11/2025 to 10/30/2025
,10/30/2025,09:00 AM,134311-CA,"8718 West Ave D12, Lancaster CA, 93536","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,10/30/2025,09:00 AM,136554-CA,"24438 LEONARD TREE LN, UNIT 204, Newhall CA, 91321","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,10/30/2025,09:00 AM,136652-CA,"38520 12Th St E, Palmdale CA, 93550","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,
,10/30/2025,09:00 AM,120984-CA,"41015 36Th St West, Palmdale CA, 93551","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/18/2025 to 10/30/2025
,10/30/2025,01:30 PM,124077-CA,"8441 Ancho Way, Elverta CA, 95626","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,From 09/25/2025 to 10/30/2025
,10/30/2025,09:00 AM,125216-CA,"19539 Gravina St, Rowland Heights CA, 91748","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/18/2025 to 10/30/2025
,10/30/2025,09:00 AM,121031-CA,"3609 Balmont St, Lancaster CA, 93536","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 08/21/2025 to 10/30/2025
,10/30/2025,09:00 AM,125228-CA,"7251 Tiara Ln, La Palma CA, 90623","ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866",,,,,,,,From 09/25/2025 to 10/30/2025
,10/30/2025,11:00 AM,084741-CA,"2255 NORTHPARK STREET, THOUSAND OAKS CA, 91362","AT THE MAIN FRONT ENTRANCE TO THE COUNTY GOVERNMENT CENTER HALL OF JUSTICE LOCATED AT 800 S. VICTORIA AVE., VENTURA, CA 93003",,,,,,,,From 09/18/2025 to 10/30/2025
,10/30/2025,01:30 PM,127665-CA,"8319 Story Ridge Way, Antelope CA, 95843","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,From 08/28/2025 to 10/30/2025
,10/30/2025,01:30 PM,112857-CA,"1027 Portola Drive, San Francisco CA, 94127","Outside the Memorial Court gates by Van Ness Avenue between 301 and 401 Van Ness Avenue, San Francisco, CA 94102",,,,,,,,From 09/25/2025 to 10/30/2025
,10/30/2025,09:00 AM,076494-CA,"9354 STAMPS AVE, DOWNEY CA, 90240","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 08/21/2025 to 10/30/2025
,10/30/2025,09:00 AM,124245-CA,"8622 Elnora St, Pico Rivera CA, 90660","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/18/2025 to 10/30/2025
,10/30/2025,09:00 AM,112131-CA,"14036 Ocana Avenue, Bellflower CA, 90706","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/04/2025 to 10/30/2025
,10/29/2025,01:00 PM,134057-CA,"19519 Estancia Dr, Riverside CA, 92508","In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882",,,,,,,,From 08/20/2025 to 10/29/2025
,10/29/2025,10:30 AM,133975-CA,"415 Campdell St, Playa Del Rey CA, 90293","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/10/2025 to 10/29/2025
,10/30/2025,09:00 AM,127072-CA,"2902 Dashwood Street, Lakewood CA, 90712","VINEYARD BALLROOM, DOUBLETREE HOTEL LOS ANGELES - NORWALK, 13111 SYCAMORE DRIVE, NORWALK, CA 90650",,,,,,,,From 09/18/2025 to 10/30/2025
,10/29/2025,03:00 PM,134256-CA,"711 Sprig Way, Los Banos CA, 93635","AT THE WEST 21ST STREET ENTRANCE TO THE MERCED COUNTY COURTS BUILDING, 627 21ST STREET, MERCED, CA 95340",,,,,,,,
,10/29/2025,10:00 AM,136649-CA,"935 Harold Ln, Healdsburg CA, 95448","IN THE PLAZA AT FREMONT PARK LOCATED AT 860 FIFTH STREET, SANTA ROSA, CA 95404",,,,,,,,
,10/30/2025,01:30 PM,114216-CA,"2625 Greenwood Ave, Sacramento CA, 95821","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,
,10/29/2025,09:00 AM,136630-CA,"2750 Santiago St, San Francisco CA, 94116","San Francisco City Hall - Outside the Memorial Court between 301 and 401 Van Ness Avenue, San Francisco, CA 94102",,,,,,,,
,10/29/2025,01:30 PM,121610-CA,"1009 Santa Monica Court, Pleasant Hill CA, 94523","AT THE NORTH SIDE OF THE PITTSBURG CIVIC CENTER OUTSIDE NEAR THE GRASS LOCATED AT 65 CIVIC AVENUE, PITTSBURG, CA 94565",,,,,,,,From 09/24/2025 to 10/29/2025
,10/29/2025,10:00 AM,030333-CA,"3320 MONCUCCO WAY, SAN JOSE CA, 95148","At the Gated North Market Street entrance of the Superior Courthouse, 191 N. First Street, San Jose, CA 95113",,,,,,,,From 09/24/2025 to 10/29/2025
,10/29/2025,01:00 PM,125745-CA,"9878 Stephens St, Delhi CA, 95315","WEST ENTRANCE, OLD MERCED COUNTY COURTHOUSE, 627 W. 21ST STREET, MERCED, CA 95340",,,,,,,,From 09/17/2025 to 10/29/2025
,10/29/2025,03:30 PM,126303-CA,"2080 Bidwell Ave, Chico CA, 95926","Outside the Main Entrance to the Butte County Courthouse located at 1 Court Street, Oroville, CA 95965",,,,,,,,From 09/24/2025 to 10/29/2025
,10/29/2025,12:30 PM,110865-CA,"21907 Donner Pass Rd, Soda Springs CA, 95728","AT THE FRONT ENTRANCE OF THE COUNTY COURTHOUSE, 201 CHURCH ST., NEVADA CITY, CA 95959",,,,,,,,From 09/24/2025 to 10/29/2025
,10/29/2025,10:00 AM,118349-CA,"4840 Summer Creek Road, Shingle Springs CA, 95682","At the Main Street entrance to the County Courthouse at 495 Main Street, Placerville, CA 95667",,,,,,,,From 09/24/2025 to 10/29/2025
,10/29/2025,09:00 AM,127423-CA,"13458 Aspen Grove Road, Corona CA, 92880","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,From 08/13/2025 to 10/29/2025
,10/29/2025,10:30 AM,130177-CA,"3538 3538 1/2 Percy St, Los Angeles CA, 90023","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/24/2025 to 10/29/2025
,10/29/2025,10:00 AM,130087-CA,"4675 Mia Cir, San Jose CA, 95136","AT THE GATED NORTH MARKET STREET ENTRANCE, SUPERIOR COURTHOUSE, 191 N. 1st Street, San Jose, CA 95113",,,,,,,,From 09/24/2025 to 10/29/2025
,10/29/2025,09:00 AM,111838-CA,"1030 Lowry Ranch Road, Corona CA, 92881","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,From 09/24/2025 to 10/29/2025
,10/29/2025,09:00 AM,115280-CA,"29318 STAMPEDE WAY, CANYON LAKE CA, 92587","Auction.com Room, 2410 Wardlow Road #111, Corona, CA 92880",,,,,,,,From 09/17/2025 to 10/29/2025
,10/29/2025,01:00 PM,129000-CA,"905 Allison Ave, Saint Helena CA, 94574","AT THE FOUNTAIN TO THE RIGHT OF THE NAPA COUNTY SUPERIOR COURTHOUSE, NAPA COUNTY CRIMINAL COURTHOUSE, 1111 THIRD STREET NAPA, CA 94559",,,,,,,,From 09/03/2025 to 10/29/2025
,10/29/2025,01:00 PM,128565-CA,"2130 W Solis St, Merced CA, 95348","WEST ENTRANCE, OLD MERCED COUNTY COURTHOUSE, 627 W. 21ST STREET, MERCED, CA 95340",,,,,,,,From 09/17/2025 to 10/29/2025
,10/29/2025,01:00 PM,131476-CA,"11 Del Copparo, Lake Elsinore CA, 92532","In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882",,,,,,,,From 09/17/2025 to 10/29/2025
,10/29/2025,10:30 AM,108413-CA,"11622 Glamis St, Sylmar CA, 91342","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 08/27/2025 to 10/29/2025
,10/29/2025,10:00 AM,129593-CA,"103 Mojonera Ct, Los Gatos CA, 95032","AT THE GATED NORTH MARKET STREET ENTRANCE, SUPERIOR COURTHOUSE, 191 N. 1st Street, San Jose, CA 95113",,,,,,,,From 08/27/2025 to 10/29/2025
,10/29/2025,10:30 AM,133606-CA,"2912 W. Century Blvd, Inglewood CA, 90303","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/10/2025 to 10/29/2025
,10/29/2025,01:00 PM,133484-CA,"27827 Cannon Dr, Menifee CA, 92585","In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882",,,,,,,,
,10/29/2025,10:00 AM,120252-CA,"1912 St Anton Drive, Frazier Park CA, 93222","AT THE FRONT ENTRANCE TO THE CITY HALL, 1501 TRUXTUN AVENUE, BAKERSFIELD, CA 93301",,,,,,,,
,10/29/2025,01:00 PM,131829-CA,"11092 Maureen Dr, Cherry Valley CA, 92223","In the courtyard, of the Historic Corona Civic Center, 815 W Sixth St, Corona, CA 92882",,,,,,,,
,10/28/2025,01:00 PM,133069-CA,"10393 25Th Street, Rancho Cucamonga CA, 91730","NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710",,,,,,,,From 09/16/2025 to 10/28/2025
,10/28/2025,09:00 AM,132719-CA,"2900 Hilltop Rd, Concord CA, 94520","At the Auction.com Room, Pleasant Hill Community Center, 320 Civic Drive, Pleasant Hill, CA 94523",,,,,,,,From 09/16/2025 to 10/28/2025
,10/28/2025,09:00 AM,135511-CA,"2058 Rosedale Dr, San Pablo CA, 94806","At the Auction.com Room, Pleasant Hill Community Center, 320 Civic Drive, Pleasant Hill, CA 94523",,,,,,,,
,10/28/2025,11:00 AM,135881-CA,"161 Wave Dr, Whitethorn CA, 95589","AT THE FRONT ENTRANCE TO THE COUNTY COURTHOUSE, 825 5TH ST., EUREKA, CA 95501",,,,,,,,
,10/28/2025,09:00 AM,135995-CA,"451 Walters St, Colton CA, 92324","AT THE NORTH WEST ENTRANCE IN THE COURTYARD OF THE CHINO MUNICIPAL COURT, 13260 CENTRAL AVENUE, CHINO, CA 91710",,,,,,,,
,10/28/2025,10:30 AM,135969-CA,"4567 TARA DR, LOS ANGELES CA, 91436","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,10/28/2025,09:00 AM,136525-CA,"7813 Megan Ann Ct, Antelope CA, 95843","AT THE EAST MAIN ENTRANCE OF THE GORDON D. SCHABER SACRAMENTO COUNTY COURTHOUSE, 720 9TH STREET, SACRAMENTO CA 95814",,,,,,,,
,10/28/2025,01:00 PM,122812-CA,"14694 Willamette Avenue, Chino CA, 91710","NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710",,,,,,,,From 09/23/2025 to 10/28/2025
,10/28/2025,10:30 AM,124986-CA,"2640 Vineyard Avenue, Los Angeles CA, 90016","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/23/2025 to 10/28/2025
,10/28/2025,01:00 PM,068243-CA,"1559 NORTH CLIFFORD AVENUE, RIALTO CA, 92376","NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710",,,,,,,,From 09/23/2025 to 10/28/2025
,10/28/2025,10:00 AM,127727-CA,"4370 West 8Th Street, Los Angeles CA, 90005","Behind the fountain located in Civic Center Plaza, 400 Civic Center Plaza, Pomona, CA 91766",,,,,,,,From 09/30/2025 to 10/28/2025
,10/28/2025,10:00 AM,126339-CA,"4048 W 59Th St, Los Angeles CA, 90043","Behind the fountain located in Civic Center Plaza, 400 Civic Center Plaza, Pomona, CA 91766",,,,,,,,From 09/23/2025 to 10/28/2025
,10/28/2025,10:00 AM,128464-CA,"54 Copper Meadow Dr, Copperopolis CA, 95228","At the gazebo in Government Center at 891 Mountain Ranch Road, San Andreas, CA 95249",,,,,,,,From 08/05/2025 to 10/28/2025
,10/28/2025,10:30 AM,125868-CA,"726 E Charron Pl, Compton CA, 90220","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 08/26/2025 to 10/28/2025
,10/28/2025,09:00 AM,129575-CA,"6820 Weddigen Way, North Highlands CA, 95660","AT THE EAST MAIN ENTRANCE OF THE GORDON D. SCHABER SACRAMENTO COUNTY COURTHOUSE, 720 9TH STREET, SACRAMENTO CA 95814",,,,,,,,From 09/16/2025 to 10/28/2025
,10/28/2025,10:30 AM,125890-CA,"3718 Olympiad Dr, Los Angeles CA, 90043","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/16/2025 to 10/28/2025
,10/28/2025,11:00 AM,126839-CA,"823 Spaniel Dr, Redding CA, 96003","AT THE SOUTH ENTRANCE TO THE SHASTA COUNTY ADMINISTRATION BUILDING LOCATED AT 1450 COURT STREET, REDDING, CA 96001",,,,,,,,From 09/23/2025 to 10/28/2025
,10/28/2025,09:00 AM,130612-CA,"22686 Roundup Way, Apple Valley CA, 92308","AT THE NORTH WEST ENTRANCE IN THE COURTYARD OF THE CHINO MUNICIPAL COURT, 13260 CENTRAL AVENUE, CHINO, CA 91710",,,,,,,,From 09/30/2025 to 10/28/2025
,10/27/2025,09:00 AM,135740-CA,"212 S Kraemer Blvd, Placentia CA, 92870","Auction.com Room, Hotel Fera Anaheim, a DoubleTree by Hilton – 100 The City Drive, Orange, CA 92868",,,,,,,,
,10/28/2025,09:00 AM,119558-CA,"39820 Snowball Ln, Big Bear Lake CA, 92315","AT THE NORTH WEST ENTRANCE IN THE COURTYARD OF THE CHINO MUNICIPAL COURT, 13260 CENTRAL AVENUE, CHINO, CA 91710",,,,,,,,
,10/28/2025,01:00 PM,121346-CA,"15404 Seals Road, Victorville CA, 92394","NEAR THE FRONT STEPS LEADING UP TO THE CITY OF CHINO CIVIC CENTER, 13220 CENTRAL AVE., CHINO, CA 91710",,,,,,,,
,10/27/2025,01:00 PM,122515-CA,"2035 Diggs Ct, Woodland CA, 95776","AT THE NORTH ENTRANCE TO THE WEST SACRAMENTO CITY HALL, 1110 W. CAPITOL AVENUE, WEST SACRAMENTO, CA 95691",,,,,,,,From 08/29/2025 to 10/27/2025
,10/27/2025,01:30 PM,126607-CA,"4318 West Mcfadden Avenue, Santa Ana CA, 92704","At the North front entrance to the County Courthouse at 700 Civic Center Drive West, Santa Ana, CA 92701",,,,,,,,From 09/29/2025 to 10/27/2025
,10/27/2025,10:30 AM,132979-CA,"1311 Sunny Acres Ave, Alpine CA, 91901","AT THE MAIN ENTRANCE TO THE EAST COUNTY REGIONAL CENTER BY STATUE, 250 E. MAIN STREET, EL CAJON, CA 92020",,,,,,,,From 08/04/2025 to 10/27/2025
,10/27/2025,09:00 AM,127331-CA,"58 Luneta Ln, Rancho Mission Viejo CA, 92694","Auction.com Room, Hotel Fera Anaheim, a DoubleTree by Hilton – 100 The City Drive, Orange, CA 92868",,,,,,,,From 08/18/2025 to 10/27/2025
,10/27/2025,01:30 PM,131872-CA,"408 East Civic Center Drive 216, Santa Ana CA, 92701","At the North front entrance to the County Courthouse at 700 Civic Center Drive West, Santa Ana, CA 92701",,,,,,,,From 09/29/2025 to 10/27/2025
,10/27/2025,09:00 AM,134193-CA,"2851 Rolling Hills Dr Spc, Fullerton CA, 92835","Auction.com Room, Hotel Fera Anaheim, a DoubleTree by Hilton – 100 The City Drive, Orange, CA 92868",,,,,,,,From 09/15/2025 to 10/27/2025
,10/27/2025,01:00 PM,079232-CA,"SPALDING, WEST SACRAMENTO CA, 95691","AT THE NORTH ENTRANCE TO THE WEST SACRAMENTO CITY HALL, 1110 W. CAPITOL AVENUE, WEST SACRAMENTO, CA 95691",,,,,,,,
,10/24/2025,10:30 AM,135739-CA,"1622 Dennis Ave, Clovis CA, 93611","AT THE BACKSIDE OF THE COUNTY COURTHOUSE BUILDING AT 1100 VAN NESS, FRESNO, CA 93724",,,,,,,,
,10/24/2025,11:00 AM,114734-CA,"39928 179Th Street East, Palmdale CA, 93591","By the fountain located at 400 Civic Center Plaza, Pomona, CA 91766",,,,,,,,From 08/29/2025 to 10/24/2025
,10/24/2025,11:00 AM,124250-CA,"38877 Yucca Tree Stret, Palmdale CA, 93551","At The Courtyard located at 400 Civic Center Plaza, Pomona, CA 91766",,,,,,,,From 08/22/2025 to 10/24/2025
,10/24/2025,10:30 AM,115824-CA,"417 W Audubon Drive, Fresno CA, 93711","AT THE BACKSIDE OF THE COUNTY COURTHOUSE BUILDING AT 1100 VAN NESS, FRESNO, CA 93724",,,,,,,,From 09/19/2025 to 10/24/2025
,10/23/2025,09:00 AM,134660-CA,"521S Lyon St, Santa Ana CA, 92701","ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866",,,,,,,,
,10/23/2025,09:00 AM,138808-CA,"11052 FAYE AVE, GARDEN GROVE CA, 92840","ON THE FRONT STEPS TO THE ENTRANCE OF THE ORANGE CIVIC CENTER, 300 E. CHAPMAN, ORANGE, CA 92866",,,,,,,,
,10/23/2025,02:30 PM,138125-CA,"7161 FAIRPLAY RD, SOMERSET CA, 95684","Outside the Main Street entrance to the County Courthouse located at 495 Main Street, Placerville, CA 95667",,,,,,,,
,10/23/2025,12:00 PM,121524-CA,"5467 Crittenden Street, Oakland CA, 94601","At the Fallon Street EmergencyExit of the Alameda County Courthouse located at 1225 Fallon Street,Oakland, CA 94612",,,,,,,,From 09/18/2025 to 10/23/2025
,10/23/2025,01:30 PM,124417-CA,"10162 Crawford Way, Sacramento CA, 95827","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,From 09/18/2025 to 10/23/2025
,10/23/2025,01:30 PM,128101-CA,"2214 Cheim Blvd, Marysville CA, 95901","AT THE MAIN ENTRANCE TO THE COUNTY COURTHOUSE LOCATED AT 215 5TH ST., MARYSVILLE, CA 95901",,,,,,,,From 09/18/2025 to 10/23/2025
,10/23/2025,09:00 AM,129449-CA,"846 Golden Pond Dr, Manteca CA, 95336","EAST WEBER AVENUE ENTRANCE, SAN JOAQUIN COUNTY COURTHOUSE, 222 E. WEBER AVENUE, STOCKTON, CA 95202",,,,,,,,From 09/25/2025 to 10/23/2025
,10/23/2025,02:00 PM,129090-CA,"16732 Goat Ranch Road, Springville CA, 93265","AT THE FRONT ENTRANCE TO THE CITY HALL, 411 E. KERN AVE., TULARE, CA 93274",,,,,,,,From 09/18/2025 to 10/23/2025
,10/23/2025,01:30 PM,133226-CA,"2518 U Street, Sacramento CA, 95818","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,From 09/18/2025 to 10/23/2025
,10/23/2025,10:00 AM,120479-CA,"5622 W Pontiac Way, Fresno CA, 93722","At the Van Ness Avenue exit from the County Courthouse at 1100 Van Ness Avenue, Fresno, CA 93724",,,,,,,,
,10/23/2025,01:30 PM,129032-CA,"3000 MARGATE WAY, RANCHO CORDOVA CA, 95670","OUTSIDE THE EAST MAIN ENTRANCE TO THE COUNTY COURTHOUSE, 720 9TH ST., SACRAMENTO, CA 95814",,,,,,,,
,10/23/2025,09:00 AM,085178-CA,"25 HUMBOLDT ST, SIMI VALLEY CA, 93065","Auction.com Room, Four Points by Sheraton Ventura Harbor Resort, 1050 Schooner Drive, Ventura, CA 93001",,,,,,,,From 09/11/2025 to 10/23/2025
,10/23/2025,10:00 AM,012319-CA,"1620 E 33RD ST, LOS ANGELES CA, 90011","Behind the fountain located in Civic Center Plaza, 400 Civic Center Plaza, Pomona, CA 91766",,,,,,,,From 09/18/2025 to 10/23/2025
,10/22/2025,12:30 PM,135558-CA,"10752 John Barleycorn Rd, Nevada City CA, 95959","AT THE FRONT ENTRANCE OF THE COUNTY COURTHOUSE, 201 CHURCH ST., NEVADA CITY, CA 95959",,,,,,,,From 09/17/2025 to 10/22/2025
,10/22/2025,10:30 AM,135690-CA,"11701 Ramona Blvd, El Monte CA, 91732","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,
,10/22/2025,03:00 PM,135831-CA,"6369 Monica Way, Winton CA, 95388","AT THE WEST 21ST STREET ENTRANCE TO THE MERCED COUNTY COURTS BUILDING, 627 21ST STREET, MERCED, CA 95340",,,,,,,,
,10/23/2025,11:00 AM,114963-CA,"615 Camino Verde, Thousand Oaks CA, 91360","To the right of the main entrance, near the exit doors, of the Government Center Hall of Justice, 800 South Victoria Avenue, Ventura, CA 93009",,,,,,,,
,10/22/2025,10:00 AM,135407-CA,"4530W Ridgecrest Blvd, Ridgecrest CA, 93555","AT THE FRONT ENTRANCE TO THE CITY HALL, 1501 TRUXTUN AVENUE, BAKERSFIELD, CA 93301",,,,,,,,
,10/22/2025,10:00 AM,136354-CA,"10307 Glenn St, Bakersfield CA, 93312","AT THE FRONT ENTRANCE TO THE CITY HALL, 1501 TRUXTUN AVENUE, BAKERSFIELD, CA 93301",,,,,,,,
,10/22/2025,09:00 AM,136650-CA,"3321 Golf Dr, San Jose CA, 95127","AT THE GATED NORTH MARKET STREET ENTRANCE, SANTA CLARA COUNTY SUPERIOR COURTHOUSE, 191 N. 1st Street, San Jose, CA 95113",,,,,,,,
,10/22/2025,09:00 AM,136451-CA,"30225 Night Passage Pl, Menifee CA, 92584","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,10/22/2025,09:00 AM,136144-CA,"48608 VISTA TIERRA, LA QUINTA CA, 92253","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,10/22/2025,09:00 AM,138564-CA,"78745 LINKS DR, PALM DESERT CA, 92211","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,10/22/2025,09:00 AM,138723-CA,"4812 OAKHURST AVE, BANNING CA, 92220","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,
,10/22/2025,09:00 AM,127873-CA,"26225 Columbia St, Hemet CA, 92544","AT THE FRONT STEPS TO THE ENTRANCE OF THE FORMER CORONA POLICE DEPARTMENT, 849 W. SIXTH STREET, CORONA, CA 92882",,,,,,,,From 09/17/2025 to 10/22/2025
,10/22/2025,10:00 AM,128742-CA,"737S 2Nd Street Unit 3, San Jose CA, 95113","AT THE GATED NORTH MARKET STREET ENTRANCE, SUPERIOR COURTHOUSE, 191 N. 1st Street, San Jose, CA 95113",,,,,,,,From 09/17/2025 to 10/22/2025
,10/22/2025,10:30 AM,129107-CA,"23029 Del Valle St, Woodland Hills CA, 91364","BEHIND THE FOUNTAIN LOCATED IN CIVIC CENTER PLAZA, 400 CIVIC CENTER PLAZA, POMONA, CA 91766",,,,,,,,From 09/17/2025 to 10/22/2025
